{'loss': 0.3047, 'grad_norm': 1.217626929283142, 'learning_rate': 4.3604e-05, 'epoch': 0.64}
{'loss': 0.3073, 'grad_norm': 1.5485936403274536, 'learning_rate': 4.3524000000000005e-05, 'epoch': 0.65}
{'loss': 0.2914, 'grad_norm': 0.9612147212028503, 'learning_rate': 4.3444e-05, 'epoch': 0.66}
{'loss': 0.3168, 'grad_norm': 1.1527568101882935, 'learning_rate': 4.336400000000001e-05, 'epoch': 0.66}
{'loss': 0.299, 'grad_norm': 1.339717984199524, 'learning_rate': 4.3284e-05, 'epoch': 0.67}
{'loss': 0.2729, 'grad_norm': 1.6214743852615356, 'learning_rate': 4.3204e-05, 'epoch': 0.68}
{'loss': 0.2213, 'grad_norm': 1.173866868019104, 'learning_rate': 4.3124e-05, 'epoch': 0.69}
{'loss': 0.3456, 'grad_norm': 1.9137835502624512, 'learning_rate': 4.3044e-05, 'epoch': 0.7}
{'loss': 0.2842, 'grad_norm': 1.6866512298583984, 'learning_rate': 4.2964000000000004e-05, 'epoch': 0.7}
{'loss': 0.2719, 'grad_norm': 1.213728904724121, 'learning_rate': 4.2884000000000005e-05, 'epoch': 0.71}
{'loss': 0.3188, 'grad_norm': 1.1910666227340698, 'learning_rate': 4.2804e-05, 'epoch': 0.72}
{'loss': 0.2832, 'grad_norm': 1.0361993312835693, 'learning_rate': 4.2724e-05, 'epoch': 0.73}
{'loss': 0.2779, 'grad_norm': 1.0110641717910767, 'learning_rate': 4.2644e-05, 'epoch': 0.74}
{'loss': 0.2453, 'grad_norm': 1.4971219301223755, 'learning_rate': 4.2564e-05, 'epoch': 0.74}
{'loss': 0.2997, 'grad_norm': 1.0713708400726318, 'learning_rate': 4.2484e-05, 'epoch': 0.75}
{'loss': 0.3335, 'grad_norm': 1.3216114044189453, 'learning_rate': 4.2404e-05, 'epoch': 0.76}
{'loss': 0.299, 'grad_norm': 0.8911344408988953, 'learning_rate': 4.2324e-05, 'epoch': 0.77}
{'loss': 0.2838, 'grad_norm': 1.443656086921692, 'learning_rate': 4.2244e-05, 'epoch': 0.78}
{'loss': 0.303, 'grad_norm': 1.606479525566101, 'learning_rate': 4.2164000000000005e-05, 'epoch': 0.78}
{'loss': 0.2932, 'grad_norm': 1.0636234283447266, 'learning_rate': 4.2084e-05, 'epoch': 0.79}
{'loss': 0.2764, 'grad_norm': 1.4249320030212402, 'learning_rate': 4.2004000000000006e-05, 'epoch': 0.8}
{'loss': 0.2469, 'grad_norm': 1.5952140092849731, 'learning_rate': 4.1924e-05, 'epoch': 0.81}
